"","county_id","year","crime_rate","pr_arrest","pr_conviction","pr_sentence","avg_sentence","police_per_capita","population_density","tax_per_capita","is_west","is_central","is_urban","pct_minority","w_construction","w_tuc","w_sales","w_fin","w_service","w_manu","w_fed","w_state","w_local_gov","offense_mix","pct_young_male","avg_wage","pr_punishment","pr_conviction_over_offenses"
"1",1,"1987",0.035603601,0.298269987,0.527595997,0.436170012,6.710000038,0.00182786,2.422632694,30.99368095,0,1,0,20.21870041,281.4259033,408.7244873,221.2700653,453.1722107,274.1774597,334.5400085,477.5799866,292.0899963,311.9100037,0.080168784,0.077870972,339.432235711111,0.0686383524256596,0.157366051166442
"2",3,"1987",0.0152532,0.132028997,1,0.449999988,6.349999905,0.00074588,1.046332002,26.8920784,0,1,0,7.916319847,255.1020355,376.2541809,196.0101013,258.5649719,192.3076935,300.3800049,409.8299866,362.9599915,301.4700012,0.0302267,0.082606941,294.7643297,0.059413047065652,0.132028997
"3",5,"1987",0.0129603,0.444444001,0.267856985,0.600000024,6.760000229,0.00123431,0.41276595,34.81605148,1,0,0,3.16053009,226.9469604,372.2084351,229.3208923,305.9440613,209.6972198,237.6499939,358.980011,331.5299988,281.3699951,0.465116292,0.072115377,283.738618633333,0.0714284609226565,0.119047430109197
"4",7,"1987",0.0267532,0.364760011,0.525424004,0.435483992,7.139999866,0.00152994,0.491557211,42.94758606,0,1,0,47.91609955,375.2345276,397.6901245,191.1720123,281.065094,256.7214355,281.7999878,412.1499939,328.269989,299.0299988,0.273622036,0.07353726,313.6814626,0.0834621033240986,0.191653665478704
"5",9,"1987",0.0106232,0.518218994,0.476563007,0.442622989,8.220000267,0.00086018,0.546948373,28.054739,1,0,0,1.796190023,292.3076782,377.312561,206.8214874,289.3124695,215.1933289,290.8900146,377.3500061,367.230011,342.8200073,0.060085841,0.070697553,306.581951555556,0.109311944769481,0.246964002065155
"6",11,"1987",0.0146067,0.524663985,0.068376102,0.5,13,0.00288203,0.611336052,35.22974014,1,0,0,1.540699959,250.4006348,401.3377991,187.8255005,258.5649719,237.1507416,258.6000061,391.480011,325.7099915,275.2200012,0.319526643,0.098919198,287.365517522222,0.0179372390770432,0.0358744781540865
"7",13,"1987",0.0296409,0.365004003,0.520606995,0.420832992,10.55000019,0.00133771,0.516949177,30.69648743,0,0,0,32.1794014,238.306366,366.300354,205.5357666,310.1737061,259.3390503,303.4200134,449.8399963,350.7200012,283.7600098,0.152372256,0.070733443,307.488362633333,0.0799682157787856,0.190023637164801
"8",15,"1987",0.020281401,0.392111003,0.769231021,0.507691979,10.64000034,0.00103525,0.300998569,34.0030365,0,0,0,61.05400085,253.5925598,353.2182007,199.2377014,356.1253662,206.281601,235.0500031,416.4899902,370.6199951,297.1300049,0.234957024,0.07430546,298.638380266667,0.153132058659141,0.301623947183024
"9",17,"1987",0.030428899,0.251599014,0.436441004,0.436892986,7.320000172,0.00129761,0.350398183,34.96203613,0,0,0,40.38899994,193.643158,346.6010742,202.9594727,268.3363037,208.2519836,339.7600098,389.5100098,322.0599976,278.3900146,0.218181819,0.07769163,283.279113777778,0.0479744001755989,0.10980812627557
"10",19,"1987",0.0221567,0.162860006,1,0.333332986,10.34000015,0.00202425,0.576744199,61.1525116,0,0,0,24.31170082,260.138092,613.2260742,191.245224,290.5140991,266.0934143,567.0599976,403.1499939,258.3299866,299.4400024,0.053347278,0.077132322,349.9107649,0.0542866120999579,0.162860006
"11",21,"1987",0.0437355,0.234760001,0.334701002,0.429071993,10.61999989,0.00182958,2.602427959,52.62629318,1,0,1,9.624440193,313.4737549,433.8579712,228.1740265,363.7670593,318.3635254,378.8999939,496.1300049,381.2999878,335.3599854,0.062893078,0.072197258,361.036256588889,0.0337140776523746,0.078574407564221
"12",23,"1987",0.0269836,0.289121002,0.403780013,0.365956992,7.070000172,0.00146111,1.511904716,29.08280373,1,0,0,7.931980133,284.9889832,400.7398376,213.1840057,325.0270996,315.024231,327.4500122,463.6700134,361.2099915,308.3200073,0.084006459,0.083978057,333.290464611111,0.0427222883832307,0.116741281946133
"13",25,"1987",0.0302542,0.323547989,0.406780005,0.492646992,8.010000229,0.0019714,2.574175835,33.03620529,0,1,0,15.09980011,315.7290344,384.615387,220.5897217,358.6328125,318.0335388,355.5899963,486.3599854,411.0799866,357.4400024,0.088483147,0.076415397,356.4522739,0.0648386759336332,0.13161285258316
"14",27,"1987",0.0382489,0.268018007,0.352941006,0.321429014,11.68999958,0.00145013,1.498938441,43.06339264,1,0,0,6.457950115,292.7350464,428.5023193,213.4620209,316.943634,292.3517151,309.269989,450.2799988,283.6000061,310.8500061,0.089570552,0.083538637,321.999415077778,0.0304054313344949,0.0945945450166951
"15",33,"1987",0.015918899,0.27094999,0.515464008,0.479999989,7.320000172,0.00075593,0.525700927,27.38109779,0,1,0,43.91690063,218.8868103,286.4157104,195.1995392,368.2487793,172.4732666,324.4500122,357.1600037,407.5400085,268.4400024,0.151125401,0.080052018,288.757125844444,0.0670391830139061,0.13966496781296
"16",35,"1987",0.040856902,0.26602599,0.325300992,0.370370001,10.06000042,0.00189444,2.924242496,56.86210632,0,1,0,10.08380032,346.5888367,469.2219849,277.292511,359.3117371,296.8490906,341.3200073,525.5100098,360.6799927,333.3200073,0.181221604,0.078911401,367.788241933333,0.0320512711629325,0.0865385184447821
"17",37,"1987",0.022601699,0.321866989,0.385495991,0.316832006,8.68999958,0.00130501,0.512711883,34.7024765,0,1,0,27.80789948,307.2780151,462.4407959,227.7858429,305.6546021,231.3615112,321.8999939,460.6199951,393.2900085,321.5299988,0.081009299,0.071540773,336.873418166667,0.0393120191122092,0.124078433894741
"18",39,"1987",0.0119154,0.308333009,0.972972989,0.291667014,11.57999992,0.00119154,0.46238938,27.27564049,1,0,0,3.945489883,277.5574951,390.1895142,180.063385,295.8580017,246.0152435,270.7799988,397.3299866,313.0599976,239.1699982,0.137440756,0.069732867,290.002624522222,0.0875000136006695,0.299999689374094
"19",41,"1987",0.025771299,0.307246,0.452829987,0.520833015,17.40999985,0.00149399,0.741758227,41.76928711,0,0,0,42.64210129,256.4102478,379.0005493,238.5589142,271.7391357,232.5915985,332.0700073,451.8399963,389.9899902,312.0499878,0.098726109,0.063555263,318.250047455556,0.0724636026819908,0.139130202185802
"20",45,"1987",0.036280699,0.202627003,0.450567007,0.474819988,8.960000038,0.00121531,1.844017148,30.84900284,0,1,0,21.74990082,318.3807983,403.0558472,248.7758636,301.8632202,293.1148376,367.4200134,463.3699951,352.3500061,320.8200073,0.085948639,0.080135368,341.016732088889,0.043349660519393,0.09129704227909
"21",47,"1987",0.031362299,0.182926998,0.763333023,0.270741999,7.789999962,0.00128127,0.563965857,32.66049576,0,0,0,33.40319824,367.8285828,342.5724182,194.6776886,352.6134949,256.4102478,355.8299866,426.5599976,313.7099915,313.8399963,0.124057569,0.07381025,324.893600477778,0.0378048474107444,0.139634218371655
"22",49,"1987",0.0374979,0.264420003,0.371879011,0.356889993,8.699999809,0.00148532,1.144079924,39.23048401,0,0,0,29.90719986,292.8321533,406.5040588,212.4850922,312.6954346,304.3066406,375.3200073,474.2999878,297.6900024,290.480011,0.106923081,0.12224479,329.623709777778,0.0350937957301816,0.098332249204257
"23",51,"1987",0.088384897,0.155248001,0.259833008,0.407628,11.93000031,0.00190802,3.934551001,35.69936371,0,0,1,37.77920151,283.6694946,412.4720459,213.7523804,324.8357239,257.3344421,441.7200012,433.9400024,367.3399963,333.7099915,0.10474319,0.142237797,340.974897588889,0.0164431245325214,0.040338555085817
